sample_type	sampleID	CMA1
Primary Tumor	TCGA-V1-A9OT-01	3.0555
Primary Tumor	TCGA-V1-A9OX-01	0
Primary Tumor	TCGA-V1-A9OY-01	1.5259
Primary Tumor	TCGA-V1-A9Z7-01	3.3243
Primary Tumor	TCGA-V1-A9Z8-01	1.8892
Primary Tumor	TCGA-V1-A9Z9-01	1.0721
Primary Tumor	TCGA-V1-A9ZG-01	3.9361
Primary Tumor	TCGA-V1-A9ZI-01	0
Primary Tumor	TCGA-V1-A9ZK-01	1.0566
Primary Tumor	TCGA-V1-A9ZR-01	4.0787
Primary Tumor	TCGA-VN-A88I-01	2.6258
Primary Tumor	TCGA-VN-A88K-01	0
Primary Tumor	TCGA-VN-A88L-01	1.5928
Primary Tumor	TCGA-VN-A88M-01	0
Primary Tumor	TCGA-VN-A88N-01	0.9419
Primary Tumor	TCGA-VN-A88O-01	0.9408
Primary Tumor	TCGA-VN-A88P-01	2.4156
Primary Tumor	TCGA-VN-A88Q-01	0.5385
Primary Tumor	TCGA-VN-A88R-01	1.0984
Primary Tumor	TCGA-VN-A943-01	0.7803
Primary Tumor	TCGA-VP-A872-01	1.1323
Primary Tumor	TCGA-VP-A875-01	0
Primary Tumor	TCGA-VP-A876-01	0.6367
Primary Tumor	TCGA-VP-A878-01	4.3326
Primary Tumor	TCGA-VP-A879-01	2.3565
Primary Tumor	TCGA-VP-A87B-01	0
Primary Tumor	TCGA-VP-A87C-01	2.4608
Primary Tumor	TCGA-VP-A87D-01	0.5806
Primary Tumor	TCGA-VP-A87E-01	2.3362
Primary Tumor	TCGA-VP-A87H-01	0.5492
Primary Tumor	TCGA-VP-A87J-01	0
Primary Tumor	TCGA-VP-A87K-01	1.4918
Primary Tumor	TCGA-VP-AA1N-01	1.5878
Primary Tumor	TCGA-WW-A8ZI-01	0.7079
Primary Tumor	TCGA-X4-A8KQ-01	1.3951
Primary Tumor	TCGA-X4-A8KS-01	3.2128
Primary Tumor	TCGA-XA-A8JR-01	3.1044
Primary Tumor	TCGA-XJ-A83F-01	0
Primary Tumor	TCGA-XJ-A83G-01	1.917
Primary Tumor	TCGA-XJ-A83H-01	1.175
Primary Tumor	TCGA-XJ-A9DI-01	0
Primary Tumor	TCGA-XJ-A9DK-01	1.5207
Primary Tumor	TCGA-XJ-A9DQ-01	3.0924
Primary Tumor	TCGA-XJ-A9DX-01	0
Primary Tumor	TCGA-XK-AAIR-01	3.3187
Primary Tumor	TCGA-XK-AAIV-01	1.8951
Primary Tumor	TCGA-XK-AAIW-01	0
Primary Tumor	TCGA-XK-AAJ3-01	0
Primary Tumor	TCGA-XK-AAJA-01	2.6652
Primary Tumor	TCGA-XK-AAJP-01	0.4432
Primary Tumor	TCGA-XK-AAJR-01	1.5972
Primary Tumor	TCGA-XK-AAJT-01	3.3673
Primary Tumor	TCGA-XK-AAJU-01	3.3208
Primary Tumor	TCGA-XK-AAK1-01	3.9996
Primary Tumor	TCGA-XQ-A8TA-01	0.5007
Primary Tumor	TCGA-XQ-A8TB-01	0
Primary Tumor	TCGA-Y6-A8TL-01	3.6402
Primary Tumor	TCGA-Y6-A9XI-01	1.3049
Primary Tumor	TCGA-YJ-A8SW-01	0.4433
Primary Tumor	TCGA-YL-A8HJ-01	2.1558
Primary Tumor	TCGA-YL-A8HK-01	3.1481
Primary Tumor	TCGA-YL-A8HL-01	0
Primary Tumor	TCGA-YL-A8HM-01	0
Primary Tumor	TCGA-YL-A8HO-01	1.4526
Primary Tumor	TCGA-YL-A8S8-01	0.8952
Primary Tumor	TCGA-YL-A8S9-01	0
Primary Tumor	TCGA-YL-A8SA-01	1.3782
Primary Tumor	TCGA-YL-A8SB-01	0.9277
Primary Tumor	TCGA-YL-A8SC-01	0
Primary Tumor	TCGA-YL-A8SF-01	0.8864
Primary Tumor	TCGA-YL-A8SH-01	0.6121
Primary Tumor	TCGA-YL-A8SI-01	0
Primary Tumor	TCGA-YL-A8SJ-01	1.9282
Primary Tumor	TCGA-YL-A8SK-01	2.0118
Primary Tumor	TCGA-YL-A8SL-01	0.5392
Primary Tumor	TCGA-YL-A8SO-01	1.3785
Primary Tumor	TCGA-YL-A8SP-01	0
Primary Tumor	TCGA-YL-A8SQ-01	1.9059
Primary Tumor	TCGA-YL-A8SR-01	3.1787
Primary Tumor	TCGA-YL-A9WH-01	0
Primary Tumor	TCGA-YL-A9WI-01	0
