sample_type	sampleID	PPP1R1A
Solid Tissue Normal	TCGA-G9-6342-11	6.5103
Primary Tumor	TCGA-G9-6343-01	6.8575
Primary Tumor	TCGA-G9-6347-01	9.4576
Primary Tumor	TCGA-G9-6348-01	4.8509
Solid Tissue Normal	TCGA-G9-6348-11	8.841
Primary Tumor	TCGA-G9-6351-01	5.0006
Solid Tissue Normal	TCGA-G9-6351-11	7.512
Primary Tumor	TCGA-G9-6353-01	7.8816
Primary Tumor	TCGA-G9-6354-01	5.9243
Primary Tumor	TCGA-G9-6356-01	6.5528
Solid Tissue Normal	TCGA-G9-6356-11	3.4101
Primary Tumor	TCGA-G9-6361-01	7.4075
Primary Tumor	TCGA-G9-6362-01	4.222
Solid Tissue Normal	TCGA-G9-6362-11	7.6922
Primary Tumor	TCGA-G9-6363-01	6.5148
Solid Tissue Normal	TCGA-G9-6363-11	6.783
Primary Tumor	TCGA-G9-6364-01	5.8728
Primary Tumor	TCGA-G9-6365-01	7.7339
Solid Tissue Normal	TCGA-G9-6365-11	6.4328
Primary Tumor	TCGA-G9-6366-01	3.7536
Primary Tumor	TCGA-G9-6367-01	7.9586
Primary Tumor	TCGA-G9-6369-01	5.5455
Primary Tumor	TCGA-G9-6370-01	6.9507
Primary Tumor	TCGA-G9-6371-01	5.3318
Primary Tumor	TCGA-G9-6373-01	5.5088
Primary Tumor	TCGA-G9-6377-01	5.4256
Primary Tumor	TCGA-G9-6378-01	6.5465
Primary Tumor	TCGA-G9-6379-01	7.6566
Primary Tumor	TCGA-G9-6384-01	4.5657
Solid Tissue Normal	TCGA-G9-6384-11	6.7706
Primary Tumor	TCGA-G9-6385-01	5.6794
Primary Tumor	TCGA-G9-6494-01	6.1532
Primary Tumor	TCGA-G9-6496-01	4.5404
Solid Tissue Normal	TCGA-G9-6496-11	9.1779
Primary Tumor	TCGA-G9-6498-01	7.7252
Primary Tumor	TCGA-G9-6499-01	6.2228
