sample_type	sampleID	RELN
Primary Tumor	TCGA-KK-A8IB-01	6.5848
Primary Tumor	TCGA-KK-A8IC-01	5.8605
Primary Tumor	TCGA-KK-A8ID-01	11.4185
Primary Tumor	TCGA-KK-A8IF-01	7.5815
Primary Tumor	TCGA-KK-A8IG-01	10.2988
Primary Tumor	TCGA-KK-A8IH-01	7.8375
Primary Tumor	TCGA-KK-A8II-01	4.1536
Primary Tumor	TCGA-KK-A8IJ-01	6.3396
Primary Tumor	TCGA-KK-A8IK-01	11.8335
Primary Tumor	TCGA-KK-A8IL-01	6.0357
Primary Tumor	TCGA-KK-A8IM-01	5.2688
Primary Tumor	TCGA-M7-A71Y-01	8.2223
Primary Tumor	TCGA-M7-A71Z-01	5.1044
Primary Tumor	TCGA-M7-A720-01	6.0913
Primary Tumor	TCGA-M7-A721-01	7.3288
Primary Tumor	TCGA-M7-A722-01	6.2507
Primary Tumor	TCGA-M7-A723-01	6.2655
Primary Tumor	TCGA-M7-A724-01	8.2774
Primary Tumor	TCGA-M7-A725-01	5.6101
Primary Tumor	TCGA-MG-AAMC-01	5.0167
Primary Tumor	TCGA-QU-A6IL-01	5.8216
Primary Tumor	TCGA-QU-A6IM-01	7.5207
Primary Tumor	TCGA-QU-A6IN-01	4.7386
Primary Tumor	TCGA-QU-A6IO-01	6.1007
Primary Tumor	TCGA-QU-A6IP-01	4.9901
Primary Tumor	TCGA-SU-A7E7-01	9.6694
Primary Tumor	TCGA-TK-A8OK-01	10.2179
Primary Tumor	TCGA-TP-A8TT-01	5.538
Primary Tumor	TCGA-TP-A8TV-01	7.7797
Primary Tumor	TCGA-V1-A8MF-01	9.1822
Primary Tumor	TCGA-V1-A8MG-01	8.1466
Primary Tumor	TCGA-V1-A8MJ-01	5.0509
Primary Tumor	TCGA-V1-A8MK-01	6.5081
Primary Tumor	TCGA-V1-A8ML-01	6.2228
Primary Tumor	TCGA-V1-A8MM-01	7.4608
Primary Tumor	TCGA-V1-A8MU-01	7.0495
Primary Tumor	TCGA-V1-A8WL-01	6.1802
Primary Tumor	TCGA-V1-A8WN-01	6.5368
Primary Tumor	TCGA-V1-A8WS-01	8.6257
Primary Tumor	TCGA-V1-A8WV-01	2.797
Primary Tumor	TCGA-V1-A8WW-01	4.6826
Primary Tumor	TCGA-V1-A8X3-01	7.4666
Primary Tumor	TCGA-V1-A9O5-01	6.3861
Primary Tumor	TCGA-V1-A9O7-01	11.0336
Primary Tumor	TCGA-V1-A9O9-01	4.8777
Primary Tumor	TCGA-V1-A9OA-01	11.0887
Primary Tumor	TCGA-V1-A9OF-01	7.6237
Primary Tumor	TCGA-V1-A9OH-01	6.5864
