sample_type	sampleID	CXCL12
Primary Tumor	TCGA-HC-7211-01	8.7952
Solid Tissue Normal	TCGA-HC-7211-11	7.7159
Primary Tumor	TCGA-HC-7212-01	8.0266
Primary Tumor	TCGA-HC-7213-01	8.1193
Primary Tumor	TCGA-HC-7230-01	7.8315
Primary Tumor	TCGA-HC-7231-01	8.3004
Primary Tumor	TCGA-HC-7232-01	8.1719
Primary Tumor	TCGA-HC-7233-01	9.788
Primary Tumor	TCGA-HC-7736-01	8.8796
Primary Tumor	TCGA-HC-7737-01	9.4874
Solid Tissue Normal	TCGA-HC-7737-11	9.3213
Primary Tumor	TCGA-HC-7738-01	7.7689
Solid Tissue Normal	TCGA-HC-7738-11	9.5278
Primary Tumor	TCGA-HC-7740-01	9.5082
Solid Tissue Normal	TCGA-HC-7740-11	9.0556
Primary Tumor	TCGA-HC-7742-01	9.0784
Solid Tissue Normal	TCGA-HC-7742-11	8.8167
Primary Tumor	TCGA-HC-7744-01	7.3893
Primary Tumor	TCGA-HC-7745-01	9.8207
Solid Tissue Normal	TCGA-HC-7745-11	9.7107
Primary Tumor	TCGA-HC-7747-01	9.82
Solid Tissue Normal	TCGA-HC-7747-11	9.3503
Primary Tumor	TCGA-HC-7748-01	9.5216
Primary Tumor	TCGA-HC-7749-01	8.7568
Primary Tumor	TCGA-HC-7750-01	9.4957
Primary Tumor	TCGA-HC-7752-01	8.476
Solid Tissue Normal	TCGA-HC-7752-11	10.2927
Primary Tumor	TCGA-HC-7817-01	9.4724
Primary Tumor	TCGA-HC-7818-01	8.8416
Primary Tumor	TCGA-HC-7819-01	7.6836
Solid Tissue Normal	TCGA-HC-7819-11	9.7759
Primary Tumor	TCGA-HC-7820-01	7.9566
Primary Tumor	TCGA-HC-7821-01	8.7
Primary Tumor	TCGA-HC-8213-01	7.3958
Primary Tumor	TCGA-HC-8216-01	10.183
Primary Tumor	TCGA-HC-8256-01	8.1568
Primary Tumor	TCGA-HC-8257-01	9.4518
Primary Tumor	TCGA-HC-8258-01	8.5297
Solid Tissue Normal	TCGA-HC-8258-11	7.4989
Primary Tumor	TCGA-HC-8259-01	7.5974
Solid Tissue Normal	TCGA-HC-8259-11	10.33
Primary Tumor	TCGA-HC-8260-01	9.4725
Solid Tissue Normal	TCGA-HC-8260-11	9.6797
Primary Tumor	TCGA-HC-8261-01	9.8147
Primary Tumor	TCGA-HC-8262-01	7.9899
Solid Tissue Normal	TCGA-HC-8262-11	8.6405
Primary Tumor	TCGA-HC-8264-01	9.8251
Primary Tumor	TCGA-HC-8265-01	8.283
Primary Tumor	TCGA-HC-8266-01	9.9502
Primary Tumor	TCGA-HC-A48F-01	7.2084
Primary Tumor	TCGA-HC-A4ZV-01	9.2693
Primary Tumor	TCGA-HC-A631-01	6.8149
Primary Tumor	TCGA-HC-A632-01	9.5871
Primary Tumor	TCGA-HC-A6AL-01	9.3073
Primary Tumor	TCGA-HC-A6AN-01	8.6176
Primary Tumor	TCGA-HC-A6AO-01	8.3544
Primary Tumor	TCGA-HC-A6AP-01	9.8696
Primary Tumor	TCGA-HC-A6AQ-01	8.3322
Primary Tumor	TCGA-HC-A6AS-01	9.674
Primary Tumor	TCGA-HC-A6HX-01	9.3315
Primary Tumor	TCGA-HC-A6HY-01	8.1258
