sample_type	sampleID	AQP3
Primary Tumor	TCGA-EJ-AB20-01	10.6396
Primary Tumor	TCGA-EJ-AB27-01	12.1397
Primary Tumor	TCGA-FC-7708-01	11.3653
Primary Tumor	TCGA-FC-7961-01	9.7091
Primary Tumor	TCGA-FC-A4JI-01	10.1323
Primary Tumor	TCGA-FC-A5OB-01	6.9139
Primary Tumor	TCGA-FC-A66V-01	13.3545
Primary Tumor	TCGA-FC-A6HD-01	12.0964
Primary Tumor	TCGA-FC-A8O0-01	11.3938
Primary Tumor	TCGA-G9-6329-01	12.4238
Primary Tumor	TCGA-G9-6332-01	11.1797
Primary Tumor	TCGA-G9-6333-01	12.2096
Solid Tissue Normal	TCGA-G9-6333-11	13.2312
Primary Tumor	TCGA-G9-6336-01	12.2194
Primary Tumor	TCGA-G9-6338-01	10.8671
Primary Tumor	TCGA-G9-6339-01	11.9806
Primary Tumor	TCGA-G9-6342-01	11.199
Solid Tissue Normal	TCGA-G9-6342-11	12.9999
Primary Tumor	TCGA-G9-6343-01	11.5987
Primary Tumor	TCGA-G9-6347-01	9.6702
Primary Tumor	TCGA-G9-6348-01	11.5135
Solid Tissue Normal	TCGA-G9-6348-11	11.4824
Primary Tumor	TCGA-G9-6351-01	11.8841
Solid Tissue Normal	TCGA-G9-6351-11	12.0583
Primary Tumor	TCGA-G9-6353-01	12.248
Primary Tumor	TCGA-G9-6354-01	11.2771
Primary Tumor	TCGA-G9-6356-01	11.9515
Solid Tissue Normal	TCGA-G9-6356-11	14.642
Primary Tumor	TCGA-G9-6361-01	11.7288
Primary Tumor	TCGA-G9-6362-01	11.0514
Solid Tissue Normal	TCGA-G9-6362-11	10.0812
Primary Tumor	TCGA-G9-6363-01	11.0132
Solid Tissue Normal	TCGA-G9-6363-11	12.0702
Primary Tumor	TCGA-G9-6364-01	10.0224
Primary Tumor	TCGA-G9-6365-01	11.1638
Solid Tissue Normal	TCGA-G9-6365-11	13.8823
Primary Tumor	TCGA-G9-6366-01	11.452
Primary Tumor	TCGA-G9-6367-01	12.91
Primary Tumor	TCGA-G9-6369-01	9.0392
Primary Tumor	TCGA-G9-6370-01	12.9333
Primary Tumor	TCGA-G9-6371-01	12.3491
Primary Tumor	TCGA-G9-6373-01	11.4002
Primary Tumor	TCGA-G9-6377-01	12.3062
Primary Tumor	TCGA-G9-6378-01	10.4621
Primary Tumor	TCGA-G9-6379-01	12.0899
Primary Tumor	TCGA-G9-6384-01	11.3297
Solid Tissue Normal	TCGA-G9-6384-11	12.515
Primary Tumor	TCGA-G9-6385-01	12.1156
Primary Tumor	TCGA-G9-6494-01	12.0217
Primary Tumor	TCGA-G9-6496-01	11.223
Solid Tissue Normal	TCGA-G9-6496-11	13.028
Primary Tumor	TCGA-G9-6498-01	11.5863
Primary Tumor	TCGA-G9-6499-01	11.1588
Solid Tissue Normal	TCGA-G9-6499-11	12.2242
Primary Tumor	TCGA-G9-7509-01	11.3353
Primary Tumor	TCGA-G9-7510-01	11.1508
Primary Tumor	TCGA-G9-7519-01	10.7069
Primary Tumor	TCGA-G9-7521-01	10.5686
Primary Tumor	TCGA-G9-7522-01	11.3778
Primary Tumor	TCGA-G9-7523-01	11.1995
Primary Tumor	TCGA-G9-7525-01	12.7044
Primary Tumor	TCGA-G9-A9S0-01	11.2428
Primary Tumor	TCGA-G9-A9S4-01	10.3698
Primary Tumor	TCGA-G9-A9S7-01	11.4657
Primary Tumor	TCGA-H9-7775-01	12.224
Primary Tumor	TCGA-H9-A6BX-01	11.1322
Primary Tumor	TCGA-H9-A6BY-01	10.4606
Primary Tumor	TCGA-HC-7075-01	9.8287
Primary Tumor	TCGA-HC-7077-01	11.1007
