sample_type	sampleID	GYS2
Primary Tumor	TCGA-HI-7170-01	0
Primary Tumor	TCGA-HI-7171-01	0.2954
Primary Tumor	TCGA-J4-8198-01	0
Primary Tumor	TCGA-J4-8200-01	0
Primary Tumor	TCGA-J4-A67K-01	1.0007
Primary Tumor	TCGA-J4-A67L-01	0
Primary Tumor	TCGA-J4-A67M-01	0.5245
Primary Tumor	TCGA-J4-A67N-01	1.0414
Primary Tumor	TCGA-J4-A67O-01	0.6859
Primary Tumor	TCGA-J4-A67Q-01	0
Primary Tumor	TCGA-J4-A67R-01	0
Primary Tumor	TCGA-J4-A67S-01	0
Primary Tumor	TCGA-J4-A67T-01	0.8929
Primary Tumor	TCGA-J4-A6G1-01	0.9221
Primary Tumor	TCGA-J4-A6G3-01	0.5662
Primary Tumor	TCGA-J4-A6M7-01	0.7885
Primary Tumor	TCGA-J4-A83I-01	0
Primary Tumor	TCGA-J4-A83J-01	0.5139
Solid Tissue Normal	TCGA-J4-A83J-11	0.897
Primary Tumor	TCGA-J4-A83K-01	0.4321
Primary Tumor	TCGA-J4-A83L-01	0.4589
Primary Tumor	TCGA-J4-A83M-01	0.5077
Primary Tumor	TCGA-J4-A83N-01	0
Primary Tumor	TCGA-J4-AATV-01	0.5084
Primary Tumor	TCGA-J4-AATZ-01	0.7002
Primary Tumor	TCGA-J4-AAU2-01	0
Primary Tumor	TCGA-J9-A52B-01	0
Primary Tumor	TCGA-J9-A52C-01	0
Primary Tumor	TCGA-J9-A52D-01	0
Primary Tumor	TCGA-J9-A52E-01	0.629
Primary Tumor	TCGA-J9-A8CK-01	0
Primary Tumor	TCGA-J9-A8CL-01	0.642
Primary Tumor	TCGA-J9-A8CM-01	0
Primary Tumor	TCGA-J9-A8CN-01	0
Primary Tumor	TCGA-J9-A8CP-01	0.9492
Primary Tumor	TCGA-KC-A4BL-01	0
Primary Tumor	TCGA-KC-A4BN-01	0
Primary Tumor	TCGA-KC-A4BR-01	1.2785
Primary Tumor	TCGA-KC-A4BV-01	0
Primary Tumor	TCGA-KC-A7F3-01	0
Primary Tumor	TCGA-KC-A7F5-01	0
Primary Tumor	TCGA-KC-A7F6-01	0
Primary Tumor	TCGA-KC-A7FA-01	0.58
Primary Tumor	TCGA-KC-A7FD-01	0
Primary Tumor	TCGA-KC-A7FE-01	0.8857
Primary Tumor	TCGA-KK-A59V-01	1.6358
Primary Tumor	TCGA-KK-A59X-01	0
Primary Tumor	TCGA-KK-A59Y-01	0
Primary Tumor	TCGA-KK-A59Z-01	0
Primary Tumor	TCGA-KK-A5A1-01	0
Primary Tumor	TCGA-KK-A6DY-01	0
Primary Tumor	TCGA-KK-A6E0-01	0
Primary Tumor	TCGA-KK-A6E1-01	0
Primary Tumor	TCGA-KK-A6E2-01	0.4852
Primary Tumor	TCGA-KK-A6E3-01	0.6549
Primary Tumor	TCGA-KK-A6E4-01	0.5396
Primary Tumor	TCGA-KK-A6E5-01	0.9325
Primary Tumor	TCGA-KK-A6E6-01	0
Primary Tumor	TCGA-KK-A6E7-01	0.4716
Primary Tumor	TCGA-KK-A6E8-01	0.5878
Primary Tumor	TCGA-KK-A7AP-01	1.1266
